publisher,genres,release_date,tags,price,early_access,id,developer
MichaelArts,"['Adventure', 'Indie']",2015-05-29,"['Adventure', 'Indie']",7.99,0.0,371900.0,MichaelArts
"Meadowlark Science and Education, LLC","['Adventure', 'Casual', 'Indie']",2017-09-01,"['Adventure', 'Indie', 'Casual']",9.99,0.0,686660.0,"Meadowlark Science and Education, LLC"
Rabbit Hole Studios,"['Action', 'Adventure', 'Indie', 'Early Access']",2017-10-31,"['Early Access', 'Adventure', 'Indie', 'Action']",2.99,1.0,734700.0,Rabbit Hole Studios
Lunacy Interactive,"['Casual', 'Indie']",2017-06-20,"['Casual', 'Indie', 'Underwater', 'Cartoony', ""Shoot 'Em Up"", 'Singleplayer', '2D']",0.99,0.0,660040.0,Lunacy Interactive
Shanghai huan zhen Info Tech Ltd,"['Casual', 'Indie', 'Simulation', 'Strategy', 'Early Access']",2017-11-17,"['Early Access', 'Strategy', 'Simulation', 'Indie', 'Casual']",9.99,1.0,741260.0,Shanghai huan zhen Info Tech Ltd
Choice of Games,"['Adventure', 'Indie', 'RPG']",2017-06-22,"['RPG', 'Indie', 'Adventure', 'Choices Matter', 'Choose Your Own Adventure', 'Text-Based']",4.99,0.0,643570.0,Choice of Games
Metal Fox,"['Adventure', 'Indie']",2017-10-25,"['Adventure', 'Indie']",0.99,0.0,734810.0,"AllSol,Unknown Hero"
Petro Shoferystov,"['Action', 'Indie']",2016-01-25,"['Action', 'Indie', 'Puzzle-Platformer', 'Psychedelic']",2.99,0.0,427770.0,Petro Shoferystov
D3 PUBLISHER,['Action'],2016-06-15,['Action'],1.99,0.0,467040.0,TAMSOFT
The Fighter Collection,['Simulation'],2010-09-22,"['Simulation', 'Flight', 'Military']",39.99,0.0,245810.0,Eagle Dynamics SA
indienova,"['Action', 'Adventure', 'Indie']",2017-11-18,"['Action', 'Adventure', 'Indie']",1.99,0.0,599910.0,radio
Activision,['Adventure'],1993-12-17,"['Adventure', 'Mystery', 'Point & Click', 'Classic', 'Story Rich', 'Pixel Graphics', 'Atmospheric', 'Detective', ""1990's""]",5.99,0.0,495700.0,Sierra On-Line
"Rocket-Engine Co.,Ltd.","['Action', 'Indie']",2017-08-10,"['Action', 'Indie']",5.99,0.0,691310.0,Studio SiestA
Winter Wolves,"['Adventure', 'Casual', 'Indie', 'Simulation']",2014-07-17,"['Adventure', 'Indie', 'Casual', 'Simulation']",0.99,0.0,307500.0,Winter Wolves
Dagestan Technology,"['Action', 'Adventure', 'Indie', 'Simulation', 'Strategy']",2016-09-26,"['Indie', 'Action', 'Adventure', 'Simulation', 'Strategy', 'Survival', 'Pixel Graphics']",3.99,0.0,528090.0,Crouching Fox
DNB Media,"['Casual', 'Indie', 'Simulation']",2017-11-23,"['Indie', 'Casual', 'Simulation']",0.99,0.0,739690.0,Epic Fire
Reverb Publishing,"['Action', 'Indie', 'Strategy']",2013-08-27,"['Action', 'Indie', 'Strategy']",0.99,0.0,235140.0,Lukewarm Media
Ghostlight LTD,"['Action', 'Adventure']",2016-03-23,"['Action', 'Adventure', 'Character Customization', 'Swordplay', 'Multiple Endings', 'Open World', 'Singleplayer', 'Choices Matter', 'RPG', 'Third Person', 'Sandbox', 'Replay Value', 'Action RPG', 'Hack and Slash', 'JRPG', 'Historical', 'Funny', 'Comedy', 'Anime']",19.99,0.0,427510.0,ACQUIRE Corp.
Nyu Media,"['Action', 'Indie']",2014-11-26,"['Action', 'Indie', 'Great Soundtrack', ""Shoot 'Em Up""]",7.99,0.0,331230.0,souvenir circ.
Shiny Dolphin Games LLC,"['Action', 'Indie']",2017-10-25,"['Action', 'Indie', 'Retro', 'Colorful', 'Singleplayer', 'Platformer', 'Difficult', 'Cartoony', 'Cartoon', ""Shoot 'Em Up"", 'Side Scroller', '2D', 'Shooter', 'Pixel Graphics', 'Classic']",4.99,0.0,703620.0,Spicy Gyro Games
A Crowd of Monsters,['Adventure'],2015-12-25,['Adventure'],4.99,0.0,384380.0,A Crowd of Monsters
KISS ltd,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",2016-08-12,"['Casual', 'Indie', 'Simulation', 'Action', 'Strategy', 'Puzzle']",9.99,0.0,504880.0,DL Softworks
VLLADGET,"['Action', 'Sports']",2016-04-01,"['Action', 'Sports']",6.99,0.0,451210.0,VLLADGET
Three Flip Studios,"['Indie', 'Simulation', 'Strategy']",2014-07-22,"['Strategy', 'Indie', 'Simulation']",4.99,0.0,297840.0,Rob Howland
Kisareth Studios,"['Indie', 'RPG']",2017-03-31,"['Indie', 'RPG', 'RPGMaker', 'Villain Protagonist', '2D', 'Mature', 'Dark Humor', 'Singleplayer', 'Adventure', 'Great Soundtrack', 'Turn-Based Combat', 'Fantasy', 'Dark Fantasy', 'Dark', 'JRPG', 'Turn-Based', 'Story Rich', 'Party-Based RPG']",4.99,0.0,603080.0,Kisareth Studios
Limevision Studios,"['Action', 'Adventure', 'Indie', 'Early Access']",2015-02-18,"['Early Access', 'Adventure', 'Indie', 'Action', 'Survival']",12.99,1.0,314530.0,"Guilherme Nunes Barbosa,Lennie Svensson,Morgan Andersson"
Headup Games,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",2014-12-04,"['RPG', 'Casual', 'Indie', 'Adventure', 'Action', 'Turn-Based', 'Fantasy', 'Singleplayer', 'Procedural Generation', 'Medieval', 'Replay Value', 'Dungeon Crawler', 'Rogue-lite']",9.99,0.0,315320.0,Silent Dreams
Narko Games,"['Action', 'Adventure', 'Casual', 'Indie', 'Sports', 'Early Access']",2017-11-17,"['Early Access', 'Indie', 'Action', 'Adventure', 'Casual', 'Sports']",1.99,1.0,744220.0,Narko Games
VisualArts,"['Adventure', 'Casual', 'Simulation']",2017-11-08,"['Adventure', 'Casual', 'Simulation']",2.99,0.0,744740.0,VisualArts/Key
Atriagames,"['Indie', 'Sports']",2017-08-08,"['Indie', 'Sports', 'Puzzle']",0.99,0.0,665230.0,Flying. Stone. Production
Calaca studios,"['Action', 'Adventure', 'Indie']",2017-12-06,"['Action', 'Adventure', 'Indie']",4.99,0.0,720020.0,Tavo
IPACS,"['Indie', 'Simulation']",2017-11-08,"['Indie', 'Simulation']",,0.0,742410.0,IPACS
KISS ltd,"['Action', 'Indie', 'Simulation']",2015-03-06,"['Action', 'Simulation', 'Indie', 'Funny', 'Destruction', 'Physics', 'First-Person', 'Comedy', 'Singleplayer', 'Difficult', 'Casual', 'Family Friendly', 'Great Soundtrack']",9.99,0.0,350500.0,Mykhail Konokh
Warner Bros. Interactive Entertainment,"['Action', 'Strategy']",2013-08-29,"['Strategy', 'Action']",14.99,0.0,111913.0,Zombie Studios
Frictional Games,"['Action', 'Adventure', 'Indie']",2007-03-30,"['Horror', 'Adventure', 'First-Person', 'Indie', 'Survival Horror', 'Psychological Horror', 'Atmospheric', 'Singleplayer', 'Stealth', 'Story Rich', 'Action', 'Dark', 'Lovecraftian', 'Survival', 'Puzzle']",9.99,0.0,22180.0,Frictional Games
Dovetail Games - Flight,['Simulation'],2015-08-04,['Simulation'],19.99,0.0,379241.0,Iris Flight Simulation Software
David Wehle,"['Adventure', 'Indie']",2017-09-14,"['Adventure', 'Indie', 'Atmospheric', 'Exploration', 'Walking Simulator', 'Singleplayer', 'Story Rich', 'Short', 'Colorful', 'Great Soundtrack', 'Third Person', 'Simulation']",7.99,0.0,555150.0,David Wehle
Adult Swim Games,"['Action', 'Adventure', 'Indie', 'RPG']",2017-11-20,"['Action', 'Adventure', 'RPG', 'Indie']",9.99,0.0,743790.0,Trinket Studios
Artifice Studio,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",2013-04-05,"['Strategy', 'Tower Defense', 'Action', 'Werewolves', 'Indie', 'RPG', 'Adventure', 'Great Soundtrack', 'Singleplayer', 'Atmospheric', 'Third Person', 'Free to Play']",,0.0,227220.0,Artifice Studio
ORiGO GAMES,"['Action', 'Indie']",2012-01-03,"['Action', 'Indie']",4.99,0.0,92303.0,Extend Studio
Recoil Games,"['Action', 'Indie', 'Casual']",2013-03-01,"['Casual', 'Action', 'Indie', 'Platformer']",1.99,0.0,107821.0,Recoil Games
Qumaron,"['Adventure', 'Casual', 'Simulation', 'Strategy']",2017-12-05,"['Strategy', 'Adventure', 'Casual', 'Simulation']",4.99,0.0,573760.0,Realore
Telltale Games,['Adventure'],2015-10-13,"['Memes', 'Adventure', 'Singleplayer', 'Story Rich', 'Pixel Graphics', 'Episodic', 'Choices Matter', 'Choose Your Own Adventure', 'Crafting', 'Survival', 'Family Friendly', 'Comedy', 'Casual', 'Zombies', 'Building', 'Third Person', 'Funny', 'Fantasy', 'Quick-Time Events', 'Atmospheric']",24.99,0.0,376870.0,Telltale Games
Badim,"['Casual', 'Indie', 'Strategy']",2016-12-08,"['Casual', 'Indie', 'Strategy']",2.99,0.0,495570.0,Badim
Leikir Studio,"['Action', 'Indie']",2015-02-25,"['Action', 'Indie', 'Bullet Hell', 'Platformer', ""Shoot 'Em Up"", 'Female Protagonist']",13.99,0.0,333510.0,Leikir Studio
MangaGamer,['Adventure'],2017-11-17,"['Great Soundtrack', 'Visual Novel', 'Mystery', 'Adventure', 'Story Rich', 'Anime', 'Philisophical', 'Cult Classic', 'Horror', 'Psychological Horror']",29.99,0.0,639490.0,07th Expansion
New Reality Games,"['Adventure', 'Indie', 'RPG']",2015-07-16,"['Indie', 'Adventure', 'RPG', 'RPGMaker']",8.99,0.0,385070.0,Astronomic Games
Capcom,['Action'],2016-02-15,"['Fighting', 'Multiplayer', 'Competitive', '2D Fighter', 'Action', 'Arcade', 'Local Multiplayer', 'e-sports', '2.5D', 'Great Soundtrack', 'Anime', 'Singleplayer', '2D', 'Classic', 'Controller', 'Female Protagonist', 'Memes', ""Beat 'em up"", 'Heist', 'Nudity']",39.99,0.0,310950.0,Capcom
Infinite Road Studio,"['Casual', 'Indie', 'Simulation']",2017-08-10,"['Casual', 'Simulation', 'Indie']",0.99,0.0,691990.0,Infinite Road Studio
Shark Tree Studios,"['Action', 'Indie']",2015-12-22,"['Action', 'Indie']",4.99,0.0,428240.0,Shark Tree Studios
Sokolov Yaroslav Vladimirovich,"['Action', 'Indie', 'Massively Multiplayer']",2017-07-06,"['Action', 'Indie', 'Massively Multiplayer']",1.99,0.0,668790.0,Sokolov Yaroslav Vladimirovich
SNK CORPORATION,"['Action', 'Free to Play']",2015-05-01,"['Action', 'Free to Play']",14.99,0.0,361470.0,SNK CORPORATION
N/A,"['Adventure', 'Indie']",2017-09-19,"['Adventure', 'Indie']",4.99,0.0,715490.0,Team Above
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",['Strategy'],2013-11-12,['Strategy'],1.99,0.0,249109.0,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
Wholetone Games,"['Casual', 'Free to Play', 'Sports']",2016-02-27,"['Free to Play', 'Casual', 'Sports', 'Memes', 'Illuminati', 'Anime', 'Horror', 'Multiplayer']",,0.0,449050.0,Wholetone Games
Gaijin Games,"['Action', 'Indie']",2013-07-11,"['Action', 'Indie']",0.99,0.0,218065.0,Gaijin Games
Afterlife Games,"['Casual', 'Indie']",2016-11-01,"['Indie', 'Casual']",1.99,0.0,541900.0,Afterlife Games
BANDAI NAMCO Entertainment,"['Action', 'Adventure']",2014-09-15,"['Anime', 'Fighting', 'Ninja', 'Action', 'Adventure', 'Multiplayer', 'Online Co-Op', 'Singleplayer', 'Great Soundtrack', 'Co-op', 'Controller', 'Third Person', 'Action RPG', 'Fantasy', 'Action-Adventure', 'PvP', 'Local Co-Op', 'Local Multiplayer', 'Comedy', '3D Vision']",29.99,0.0,272510.0,"CyberConnect2 Co., Ltd."
Plug In Digital,"['Action', 'Adventure', 'Simulation']",2014-06-16,"['Action', 'Simulation', 'Adventure', 'Space', 'Sci-fi']",4.99,0.0,297100.0,Silesia Games Sp. z o.o.
"Oddworld Inhabitants, Inc.","['Action', 'Adventure', 'Indie']",2015-02-25,"['Adventure', 'Platformer', 'Puzzle', 'Remake', 'Classic', 'Action', 'Singleplayer', 'Indie', '2D', 'Funny', 'Cult Classic', 'Atmospheric', 'Side Scroller', 'Stealth', 'Comedy', '2.5D', 'Sci-fi', 'Puzzle-Platformer', 'Difficult']",19.99,0.0,314660.0,"Just Add Water (Developments), Ltd."
Vostok Games,"['Action', 'Free to Play', 'Massively Multiplayer', 'RPG']",2015-04-02,"['Massively Multiplayer', 'Action', 'Free to Play', 'RPG']",19.99,0.0,359520.0,Vostok Games
Deep Silver,"['Action', 'RPG']",2014-07-31,"['Action', 'RPG']",0.99,0.0,279112.0,Keen Games
BANDAI NAMCO Entertainment,"['Action', 'RPG']",2017-01-31,"['Action', 'RPG']",,0.0,565220.0,BANDAI NAMCO Studios Inc.
Slitherine Ltd.,"['Free to Play', 'Simulation', 'Strategy']",2015-04-30,"['Strategy', 'World War II', 'Free to Play', 'Turn-Based', 'Wargame', 'Turn-Based Strategy', 'Hex Grid', 'Multiplayer', 'Simulation', 'Singleplayer', 'War', 'Replay Value', 'Historical', 'Tactical', 'Turn-Based Tactics', 'Turn-Based Combat', 'Level Editor', 'Moddable', 'Asynchronous Multiplayer']",,0.0,312450.0,The Artistocrats
Dovetail Games - Flight,['Simulation'],2017-03-09,['Simulation'],19.99,0.0,536578.0,Just Flight
Games For All,['Casual'],2014-06-12,['Casual'],4.99,0.0,326130.0,Little World Studio
Ubisoft,"['Action', 'Adventure']",2008-04-09,"['Action', 'Adventure', 'Parkour', 'Stealth', 'Open World', 'Third Person', 'Historical', 'Medieval', 'Singleplayer', 'Assassin', 'Conspiracy', 'Atmospheric', 'Action-Adventure', 'Story Rich', 'Great Soundtrack', 'Sandbox', 'Controller', 'Sci-fi', 'Classic', 'RPG']",19.99,0.0,15100.0,Ubisoft Montreal
Cult Software,['Strategy'],2017-09-19,"['Strategy', 'Turn-Based', 'Wargame', 'War', 'Turn-Based Combat', 'Turn-Based Strategy', 'Turn-Based Tactics', 'Local Co-Op', 'Hex Grid', 'Historical', 'America']",0.99,0.0,705750.0,Cult Software
Electronic Arts,['Simulation'],2013-06-25,['Simulation'],19.99,0.0,223598.0,The Sims Studio
pheenix93,"['Adventure', 'Indie']",2016-01-11,"['Adventure', 'Indie', 'Mystery', 'Horror']",1.99,0.0,433790.0,pheenix93
Simple Interactive Games,"['Action', 'Casual', 'Indie']",2017-08-14,"['Casual', 'Indie', 'Action']",1.99,0.0,683130.0,Simple Interactive Games
Xitilon,"['Action', 'Indie']",2017-08-03,"['Action', 'Indie']",1.99,0.0,690880.0,"Xitilon,Xeneder"
Winged Cloud,"['Casual', 'Indie']",2015-08-11,"['Indie', 'Casual']",0.99,0.0,393025.0,Winged Cloud
Activision,"['Action', 'Casual']",2008-06-04,"['Action', 'Casual', 'Space', 'On-Rails Shooter']",9.99,0.0,10120.0,Artech Studios
PsychoFlux Entertainment,"['Casual', 'Free to Play', 'Indie']",2017-06-04,"['Indie', 'Casual', 'Free to Play']",0.99,0.0,765750.0,SEROSOO
Milestone S.r.l.,"['Racing', 'Simulation', 'Sports']",2015-06-23,"['Racing', 'Simulation', 'Sports', 'Multiplayer']",29.99,0.0,355130.0,Milestone S.r.l.
Mad Catz,"['Action', 'Simulation']",2012-11-08,"['Action', 'Simulation']",2.99,0.0,215433.0,Trickstar Games
Focus Home Interactive,['Strategy'],2016-10-04,['Strategy'],5.99,0.0,529390.0,Eugen Systems
"Hassey Enterprises, Inc.","['Action', 'Casual', 'Indie', 'Massively Multiplayer']",2016-10-14,"['Action', 'Massively Multiplayer', 'Indie', 'Casual']",0.99,0.0,538538.0,"Hassey Enterprises, Inc."
THQ Nordic,['Adventure'],2015-02-19,['Adventure'],10.0,0.0,346230.0,KING Art
Trendy Entertainment,"['RPG', 'Indie']",2012-07-10,"['RPG', 'Indie']",3.99,0.0,204384.0,Trendy Entertainment
Paradox Interactive,"['Simulation', 'Strategy']",2014-07-16,"['Strategy', 'Simulation', 'Grand Strategy', 'Adventure']",4.99,0.0,279623.0,Paradox Development Studio
LW Games,"['Action', 'Indie', 'Strategy']",2015-06-24,"['Strategy', 'Indie', 'Action', 'Space', 'Shooter', 'Top-Down Shooter', 'Tactical RPG', 'Turn-Based Strategy', 'RTS']",4.99,0.0,355810.0,George Neguceanu
"YarGri, EHTechnology","['Action', 'Adventure', 'Indie']",2017-02-21,"['Action', 'Adventure', 'Indie']",0.99,0.0,593290.0,"YarGri,EHTechnology"
Devolver Digital,"['Casual', 'Indie']",2014-10-30,"['Casual', 'Indie', 'Music']",2.99,0.0,297110.0,Gl33k
THQ Nordic,"['Adventure', 'Indie']",2008-04-07,"['Adventure', 'Indie', 'Point & Click']",14.99,0.0,339850.0,House of Tales
Oblivionburn Productions,"['Casual', 'Free to Play', 'Indie', 'RPG', 'Simulation', 'Strategy']",2015-04-13,"['Indie', 'Simulation', 'Casual', 'Strategy', 'RPG', 'Free to Play', 'Turn-Based Combat']",,0.0,416030.0,Oblivionburn Productions
Iceberg Interactive,"['Indie', 'Simulation', 'Strategy', 'Early Access']",2016-04-29,"['Early Access', 'Simulation', 'Strategy', 'Indie', 'Management', 'Space']",19.99,1.0,292330.0,Coronado Games
Activision,['Action'],2015-07-23,['Action'],1.99,0.0,343596.0,"Sledgehammer Games,Raven Software"
THQ Nordic,['Adventure'],2003-10-17,"['Adventure', 'Point & Click', 'Mystery', 'Atmospheric', 'Horror', 'Story Rich', 'Dark', 'Singleplayer', 'Puzzle', 'Classic', 'Gothic', 'Third Person', 'Great Soundtrack']",9.99,0.0,292930.0,"Future Games,Unknown Identity"
AV media lab,"['Adventure', 'Indie', 'RPG']",2015-03-16,"['Indie', 'Adventure', 'RPG', 'Horror', 'RPGMaker']",4.99,0.0,355570.0,AV media lab
SUMCOM,"['Casual', 'Indie']",2017-02-10,"['Indie', 'Casual']",0.99,0.0,587210.0,SUMCOM
Cadence Games,"['Action', 'Free to Play', 'Indie']",2016-04-13,"['Free to Play', 'Indie', 'Action', 'Fighting', 'Multiplayer']",,0.0,431500.0,Cadence Games
"Green Man Gaming Publishing, Good Catch Games",['Action'],2015-10-02,"['Action', 'Multiplayer', '4 Player Local', '2D', 'Ninja', 'Platformer', 'Swordplay', 'Fighting', 'Indie', 'Local Co-Op', 'Fast-Paced', 'PvP', 'Co-op', 'Competitive', '2D Fighter']",12.99,0.0,404050.0,Good Catch Games
SlyGames,"['Casual', 'Indie']",2017-09-25,"['Indie', 'Casual']",0.99,0.0,711090.0,SlyGames
Evgiz,"['Action', 'Adventure', 'Indie', 'Early Access']",2017-02-01,"['Early Access', 'Indie', 'Adventure', 'Action', 'Rogue-like', 'Difficult', 'Top-Down Shooter', 'Gore', 'Blood']",6.99,1.0,568400.0,Evgiz
GamersHype Productions,"['Action', 'Adventure', 'Casual', 'Indie', 'Strategy']",2017-03-03,"['Indie', 'Casual', 'Action', 'Adventure', 'Strategy', 'Multiplayer', 'Controller']",0.99,0.0,512020.0,GamersHype Productions
THQ Nordic,"['Adventure', 'RPG']",2003-11-10,"['Adventure', 'RPG', 'Third Person', 'Singleplayer', 'Classic', '3D Platformer', 'Action-Adventure', 'Mythology', 'Great Soundtrack', 'Puzzle-Platformer', 'Colorful', 'Cartoony']",14.99,0.0,606710.0,"Eurocom,THQ Nordic"
GameUS Inc.,"['Action', 'Casual', 'Free to Play', 'RPG', 'Simulation', 'Strategy']",2015-03-03,"['Free to Play', 'Action', 'Multiplayer', 'Flight', 'Strategy', 'Casual', 'Simulation', 'RPG', 'World War II', 'Massively Multiplayer', 'Arcade', 'Singleplayer']",139.92,0.0,342570.0,GameUS Inc.
Rhino Games,"['Action', 'Indie']",2017-08-11,"['Action', 'Indie', 'Platformer']",1.99,0.0,677980.0,Yah_Shi
Deep Silver,['Action'],2012-04-10,['Action'],2.99,0.0,55396.0,Volition
NFA,"['Action', 'Indie']",2016-07-11,"['Action', 'Indie', 'Singleplayer', 'FPS', 'First-Person', 'Multiplayer']",2.99,0.0,494290.0,"NFA,Claw Games"
"Idea Factory, Idea Factory International",['RPG'],2015-05-29,['RPG'],0.99,0.0,354467.0,"Idea Factory,Compile Heart,Felistella"
Tzar Leonardi,"['Casual', 'Free to Play', 'Indie']",2017-09-01,"['Free to Play', 'Casual', 'Indie', 'Education']",,0.0,689400.0,Tzar Leonardi
United Independent Entertainment GmbH,['Simulation'],2014-02-25,"['Simulation', 'Action', 'Survival', 'Female Protagonist']",9.99,0.0,273940.0,app2fun
No Wand Studios,"['Adventure', 'Indie']",2017-10-04,"['Adventure', 'Indie']",6.99,0.0,726140.0,No Wand Studios
Ubisoft,"['Casual', 'Simulation']",2012-12-11,"['Casual', 'Simulation']",7.99,0.0,222061.0,Ubisoft - San Francisco
Xitilon,"['Casual', 'Indie']",2017-08-25,"['Indie', 'Casual', '2D', 'Fast-Paced', 'Pixel Graphics', 'Action', 'Puzzle', 'Singleplayer', 'Colorful', 'Arcade', 'Match 3', 'Stylized', 'Cartoon', 'Controller', 'Magic']",2.3,0.0,680930.0,OddMeat
"PopCap Games, Inc.",['Casual'],2006-08-30,"['Casual', 'Arcade', 'Action']",4.99,0.0,3410.0,"PopCap Games, Inc."
Eleon Game Studios,"['Adventure', 'Indie', 'Simulation', 'Strategy', 'Early Access']",2015-08-05,"['Early Access', 'Survival', 'Space', 'Open World', 'Building', 'Sandbox', 'Multiplayer', 'Crafting', 'Exploration', 'Sci-fi', 'Adventure', 'Singleplayer', 'Simulation', 'Co-op', 'First-Person', 'Strategy', 'Indie', 'Aliens', 'Action', 'FPS']",19.99,1.0,383120.0,Eleon Game Studios
Funcom,"['Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Strategy', 'Early Access']",2017-01-30,"['Early Access', 'Survival', 'Open World', 'Nudity', 'Crafting', 'Building', 'Multiplayer', 'Massively Multiplayer', 'RPG', 'Sandbox', 'Action', 'Violent', 'Gore', 'PvP', 'Adventure', 'Online Co-Op', 'Singleplayer', 'Exploration', 'Co-op', 'Fantasy']",29.99,1.0,440900.0,Funcom
Black Jacket Studios,"['Action', 'Indie', 'Racing', 'Sports']",2009-10-22,"['Action', 'Indie', 'Racing', 'Sports', 'Multiplayer']",9.99,0.0,32200.0,Black Jacket Studios
Proletariat Inc.,"['Action', 'Indie', 'Sports']",2016-09-30,"['Action', 'Indie', 'Sports']",8.99,0.0,529200.0,Proletariat Inc.
1C Company,"['Action', 'Adventure']",2007-10-16,"['Stealth', 'Action', 'Adventure', 'World War II', 'Singleplayer', 'Open World', 'Third Person', 'Classic']",4.99,0.0,9800.0,Haggard Games
Deceptive Games Ltd.,"['Adventure', 'Casual', 'Indie']",2016-08-10,"['Adventure', 'Indie', 'Casual']",1.99,0.0,500250.0,Deceptive Games Ltd.
HIKARI FIELD,['Adventure'],2016-12-09,"['Anime', 'Dating Sim', 'Sexual Content', 'Visual Novel', 'Nudity', 'Cute', 'Adventure', 'Story Rich']",29.99,0.0,552280.0,"Lump of Sugar,HIKARI FIELD"
Viron Shake,['Indie'],2016-06-24,"['Indie', 'Horror']",1.99,0.0,709560.0,Viron Shake
"Cygames, Inc.","['Action', 'Adventure', 'Indie', 'RPG']",2016-07-18,"['Adventure', 'RPG', 'Indie', 'Action', 'Anime']",9.99,0.0,494980.0,"Miracle Positive Co., Ltd."
Evgeniy Psarev,"['Indie', 'RPG', 'Simulation', 'Early Access']",2018-03-08,"['Early Access', 'RPG', 'Indie', 'Simulation']",6.99,1.0,709280.0,"Evgeniy Psarev,Alexey Irhin,Dmitry Ryabchunov"
WB Games,['Action'],2017-11-14,['Action'],39.99,0.0,731150.0,"NetherRealm Studios,QLOC"
SimBin,"['Racing', 'Simulation', 'Sports']",2006-09-10,"['Racing', 'Simulation', 'Sports', 'Multiplayer', 'Singleplayer']",7.99,0.0,8790.0,SimBin Studios AB
Ubisoft,['RPG'],2014-04-30,['RPG'],1.99,0.0,290402.0,Ubisoft Montréal
Black Lime Studio,"['Action', 'Indie']",2015-08-03,"['Action', 'Indie']",0.99,0.0,389620.0,Black Lime Studio
keyreal,"['Action', 'Indie']",2016-03-14,"['Action', 'Indie', 'Bullet Hell', ""Shoot 'Em Up""]",9.99,0.0,495230.0,keyreal
"SQUARE ENIX, Eidos Interactive",['Action'],2010-08-31,['Action'],2.99,0.0,28011.0,IO Interactive
Deep Silver,"['Action', 'Adventure']",2016-07-15,"['Action', 'Adventure']",4.99,0.0,445992.0,Dambuster Studios
Scott Cawthon,"['Free to Play', 'Indie', 'Simulation']",2017-12-04,"['Free to Play', 'Horror', 'Singleplayer', 'Simulation', 'Robots', 'Survival Horror', 'Indie', 'Difficult', 'Psychological Horror', 'Funny', 'First-Person', 'Management', 'Pixel Graphics', 'Strategy', 'Story Rich', 'Retro', 'Memes', 'Atmospheric', 'Adventure', 'Family Friendly']",,0.0,738060.0,Scott Cawthon
Dovetail Games - Trains,['Simulation'],2010-09-17,"['Simulation', 'Trains', 'Co-op', 'Open World', 'Sandbox', 'Physics', 'Atmospheric', 'Realistic', 'Family Friendly', 'TrackIR']",4.99,0.0,24082.0,Dovetail Games
Kalypso Media Digital,"['Simulation', 'Strategy']",2013-02-18,"['Strategy', 'Simulation']",24.99,0.0,215373.0,Haemimont Games
Rebellion,['Action'],2017-05-11,['Action'],0.99,0.0,558836.0,Rebellion
DiPi Games,"['Action', 'Adventure', 'Indie']",2016-04-15,"['Action', 'Adventure', 'Indie', 'Platformer', '2D']",4.99,0.0,454970.0,DiPi Games
Frima,"['Adventure', 'Casual', 'Strategy']",2009-11-05,"['Adventure', 'Casual', 'Strategy', 'Point & Click', 'Puzzle']",4.99,0.0,35600.0,Frima
Anikids,"['Casual', 'Simulation']",2014-03-27,"['Simulation', 'Casual', 'Gore', 'Family Friendly', 'Difficult', 'Nudity']",9.99,0.0,276220.0,Sproing
Aartform Games,"['Indie', 'Simulation', 'Strategy']",2014-04-24,"['Strategy', 'Simulation', 'Indie', 'Economy', 'Management', 'Trading']",19.99,0.0,293960.0,Aartform Games
Fifth Dimension Company,"['Casual', 'Indie']",2016-10-28,"['Indie', 'Casual']",0.99,0.0,528670.0,Fifth Dimension Company
"Konami Digital Entertainment, Inc.",['Simulation'],2016-12-07,['Simulation'],4.99,0.0,523500.0,Other Ocean Interactive
Atari,"['Simulation', 'Strategy']",2002-10-15,"['Simulation', 'Management', 'Classic', 'Strategy', 'Sandbox', 'Singleplayer', 'Building', 'Economy', 'Isometric', 'Retro', 'Multiplayer', 'Casual', 'Pixel Graphics', 'Family Friendly']",9.99,0.0,285330.0,Chris Sawyer Productions
Nightdive Studios,"['Action', 'RPG']",1999-08-11,"['RPG', 'Cyberpunk', 'Horror', 'Sci-fi', 'Classic', 'FPS', 'Survival Horror', 'Action', 'Cult Classic', 'Space', 'First-Person', 'Story Rich', 'Atmospheric', 'Great Soundtrack', 'Singleplayer', 'Co-op', 'Inventory Management', 'Shooter', 'Survival', 'Adventure']",9.99,0.0,238210.0,"Irrational Games,Looking Glass Studios"
KISS ltd,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports', 'Strategy']",2016-11-11,"['Indie', 'Casual', 'Simulation', 'Sports', 'Strategy', 'Free to Play']",3.99,0.0,553070.0,DL Softworks
Devdan Games,"['Action', 'Adventure', 'Casual', 'Indie']",2017-11-28,"['Action', 'Adventure', 'Indie', 'Casual']",3.99,0.0,706440.0,Devdan Games
"KISS ltd, Funbox Media Ltd",['Action'],2005-03-24,"['Action', 'Shooter', 'Third-Person Shooter']",9.99,0.0,283410.0,"Asobo Studio,Hip Games"
Ubisoft,['Racing'],2014-04-24,['Racing'],19.99,0.0,287330.0,"RedLynx, in collaboration with  Ubisoft Shanghai"
